# t,winchvel,rotvel,lightbright
27556,-0.424034,0.684263,0.61866
27639,-0.421117,0.688373,0.623624
27722,-0.418201,0.692483,0.628589
27805,-0.415285,0.696593,0.633553
27888,-0.412368,0.700703,0.638517
27971,-0.409452,0.704813,0.643481
28054,-0.406536,0.708923,0.648445
28137,-0.403619,0.713034,0.653409
28220,-0.400703,0.717144,0.658373
28303,-0.397786,0.721254,0.663337
28386,-0.39487,0.725364,0.668301
28469,-0.391954,0.729474,0.673266
28552,-0.389037,0.733584,0.67823
28635,-0.386121,0.737694,0.683194
28718,-0.383204,0.741804,0.688158
28801,-0.380288,0.745915,0.693122
28884,-0.377372,0.750025,0.698086
28967,-0.374455,0.754135,0.70305
29050,-0.371539,0.758245,0.708014
29133,-0.368623,0.762355,0.712978
29216,-0.365706,0.766465,0.717943
29299,-0.36279,0.770575,0.722907
29382,-0.359873,0.774686,0.727871
29465,-0.356957,0.778796,0.732835
29548,-0.354041,0.782906,0.737799
29631,-0.351124,0.787016,0.742763
29714,-0.348208,0.791126,0.747727
29797,-0.345292,0.795236,0.752691
29880,-0.342375,0.799346,0.757656
29963,-0.339459,0.803457,0.76262
30046,-0.336542,0.807567,0.767584
30129,-0.333626,0.811677,0.772548
30212,-0.33071,0.815787,0.777512
30295,-0.327793,0.819897,0.782476
30378,-0.324877,0.824007,0.78744
30461,-0.321961,0.828117,0.792404
30544,-0.319044,0.832227,0.797368
30627,-0.316128,0.836338,0.802333
30710,-0.313212,0.840448,0.807297
30793,-0.310295,0.844558,0.812261
30876,-0.307379,0.848668,0.817225
30959,-0.304462,0.852778,0.822189
31042,-0.301546,0.856888,0.827153
31125,-0.29863,0.860998,0.832117
31208,-0.295713,0.865108,0.837081
31291,-0.292797,0.869219,0.842045
31374,-0.289881,0.873329,0.84701
31457,-0.286964,0.877439,0.851974
31540,-0.284048,0.881549,0.856938
31623,-0.281131,0.885659,0.861902
31706,-0.278215,0.889769,0.866866
31789,-0.275299,0.893879,0.87183
31872,-0.272382,0.89799,0.876794
31955,-0.269466,0.9021,0.881758
32038,-0.266549,0.90621,0.886723
32121,-0.263633,0.91032,0.891687
32204,-0.260717,0.91443,0.896651
32287,-0.2578,0.91854,0.901615
32370,-0.254884,0.92265,0.906579
32453,-0.251968,0.92676,0.911543
32536,-0.249051,0.930871,0.916507
32619,-0.246135,0.934981,0.921471
32702,-0.243219,0.939091,0.926435
32785,-0.240302,0.943201,0.9314
32868,-0.237386,0.947311,0.936364
32951,-0.234469,0.951421,0.941328
33034,-0.231553,0.955531,0.946292
33117,-0.228637,0.959641,0.951256
33200,-0.22572,0.963752,0.95622
33283,-0.222804,0.967862,0.961184
33366,-0.219888,0.971972,0.966148
33449,-0.216971,0.976082,0.971112
33532,-0.214055,0.980192,0.976077
33615,-0.211138,0.984302,0.981041
33698,-0.208222,0.988412,0.986005
33781,-0.205306,0.992522,0.990969
33864,-0.202389,0.996633,0.995933
33947,-0.199036,1,0.999751
34030,-0.193704,1,0.998375
34113,-0.188371,1,0.996999
34196,-0.183039,1,0.995622
34279,-0.177706,1,0.994246
34362,-0.172374,1,0.99287
34445,-0.167041,1,0.991493
34528,-0.161709,1,0.990117
34611,-0.156376,1,0.988741
34694,-0.151044,1,0.987364
34777,-0.145712,1,0.985988
34860,-0.140379,1,0.984612
34943,-0.135047,1,0.983235
35026,-0.129714,1,0.981859
35109,-0.124382,1,0.980483
35192,-0.119049,1,0.979107
35275,-0.113717,1,0.97773
35358,-0.108384,1,0.976354
35441,-0.103052,1,0.974978
35524,-0.0977192,1,0.973601
35607,-0.0923867,1,0.972225
35690,-0.0870543,1,0.970849
35773,-0.0817218,1,0.969472
35856,-0.0763893,1,0.968096
35939,-0.0710568,1,0.96672
36022,-0.0657244,1,0.965343
36105,-0.0603919,1,0.963967
36188,-0.0550594,1,0.962591
36271,-0.0497269,1,0.961214
36354,-0.0443944,1,0.959838
36437,-0.039062,1,0.958462
36520,-0.0337295,1,0.957086
36603,-0.028397,1,0.955709
36686,-0.0230646,1,0.954333
36769,-0.0177321,1,0.952957
36852,-0.0123996,1,0.95158
36935,-0.00706708,1,0.950204
37018,-0.00173461,1,0.948828
37101,0.00359786,1,0.947451
37184,0.00893033,1,0.946075
37267,0.0142628,1,0.944699
37350,0.0195953,1,0.943322
